nct_id,drug_mesh,cond_mesh,mesh_type
NCT03747562,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03689114,Gabapentin,Epilepsy,mesh-list
NCT03689114,Gabapentin,"Epilepsies, Partial",mesh-list
NCT03689114,Gabapentin,Brain Diseases,mesh-ancestor
NCT03689114,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT03689114,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03679013,Gabapentin,"Pain, Postoperative",mesh-list
NCT03679013,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03679013,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03679013,Gabapentin,Pain,mesh-ancestor
NCT03679013,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03668041,Gabapentin,Sleep Initiation and Maintenance Disorders,mesh-list
NCT03668041,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT03668041,Gabapentin,Dyssomnias,mesh-ancestor
NCT03668041,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT03668041,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03668041,Gabapentin,Mental Disorders,mesh-ancestor
NCT03635905,Gabapentin,"Dilatation, Pathologic",mesh-list
NCT03635905,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT03625011,Gabapentin,Tonsillitis,mesh-list
NCT03625011,Gabapentin,"Pain, Postoperative",mesh-list
NCT03625011,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03625011,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03625011,Gabapentin,Pain,mesh-ancestor
NCT03625011,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03625011,Gabapentin,Pharyngitis,mesh-ancestor
NCT03625011,Gabapentin,Respiratory Tract Infections,mesh-ancestor
NCT03625011,Gabapentin,Infections,mesh-ancestor
NCT03625011,Gabapentin,Pharyngeal Diseases,mesh-ancestor
NCT03625011,Gabapentin,Stomatognathic Diseases,mesh-ancestor
NCT03625011,Gabapentin,Respiratory Tract Diseases,mesh-ancestor
NCT03625011,Gabapentin,Otorhinolaryngologic Diseases,mesh-ancestor
NCT03619785,Gabapentin,"Fractures, Bone",mesh-list
NCT03619785,Gabapentin,Rib Fractures,mesh-list
NCT03619785,Gabapentin,"Fractures, Multiple",mesh-list
NCT03619785,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT03619785,Gabapentin,Thoracic Injuries,mesh-ancestor
NCT03619785,Gabapentin,Multiple Trauma,mesh-ancestor
NCT03583892,Gabapentin,"Pain, Postoperative",mesh-list
NCT03583892,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03583892,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03583892,Gabapentin,Pain,mesh-ancestor
NCT03583892,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03574792,Gabapentin,Carcinoma,mesh-list
NCT03574792,Gabapentin,"Carcinoma, Squamous Cell",mesh-list
NCT03574792,Gabapentin,Head and Neck Neoplasms,mesh-list
NCT03574792,Gabapentin,Squamous Cell Carcinoma of Head and Neck,mesh-list
NCT03574792,Gabapentin,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT03574792,Gabapentin,Neoplasms by Histologic Type,mesh-ancestor
NCT03574792,Gabapentin,Neoplasms,mesh-ancestor
NCT03574792,Gabapentin,"Neoplasms, Squamous Cell",mesh-ancestor
NCT03574792,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT03566394,Gabapentin,Breast Neoplasms,mesh-list
NCT03566394,Gabapentin,Arthralgia,mesh-list
NCT03566394,Gabapentin,Myalgia,mesh-list
NCT03566394,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT03566394,Gabapentin,Neoplasms,mesh-ancestor
NCT03566394,Gabapentin,Breast Diseases,mesh-ancestor
NCT03566394,Gabapentin,Skin Diseases,mesh-ancestor
NCT03566394,Gabapentin,Joint Diseases,mesh-ancestor
NCT03566394,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT03566394,Gabapentin,Pain,mesh-ancestor
NCT03566394,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03566394,Gabapentin,Muscular Diseases,mesh-ancestor
NCT03566394,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT03566394,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03566394,Gabapentin,Musculoskeletal Pain,mesh-ancestor
NCT03540030,Gabapentin,Arthritis,mesh-list
NCT03540030,Gabapentin,Necrosis,mesh-list
NCT03540030,Gabapentin,Rotator Cuff Injuries,mesh-list
NCT03540030,Gabapentin,Joint Diseases,mesh-ancestor
NCT03540030,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT03540030,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03540030,Gabapentin,Rupture,mesh-ancestor
NCT03540030,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT03540030,Gabapentin,Shoulder Injuries,mesh-ancestor
NCT03540030,Gabapentin,Tendon Injuries,mesh-ancestor
NCT03498261,Gabapentin,"Pain, Postoperative",mesh-list
NCT03498261,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03498261,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03498261,Gabapentin,Pain,mesh-ancestor
NCT03498261,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03476538,Gabapentin,"Obesity, Morbid",mesh-list
NCT03476538,Gabapentin,Obesity,mesh-ancestor
NCT03476538,Gabapentin,Overnutrition,mesh-ancestor
NCT03476538,Gabapentin,Nutrition Disorders,mesh-ancestor
NCT03476538,Gabapentin,Overweight,mesh-ancestor
NCT03476538,Gabapentin,Body Weight,mesh-ancestor
NCT03472469,Gabapentin,Wounds and Injuries,mesh-list
NCT03346668,Gabapentin,Neurogenic Inflammation,mesh-list
NCT03346668,Gabapentin,Alopecia,mesh-list
NCT03346668,Gabapentin,Alopecia Areata,mesh-list
NCT03346668,Gabapentin,Inflammation,mesh-list
NCT03346668,Gabapentin,Cicatrix,mesh-list
NCT03346668,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03346668,Gabapentin,Hypotrichosis,mesh-ancestor
NCT03346668,Gabapentin,Hair Diseases,mesh-ancestor
NCT03346668,Gabapentin,Skin Diseases,mesh-ancestor
NCT03346668,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT03346668,Gabapentin,Fibrosis,mesh-ancestor
NCT03346668,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03346668,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03334903,Gabapentin,"Osteoarthritis, Knee",mesh-list
NCT03334903,Gabapentin,Opioid-Related Disorders,mesh-list
NCT03334903,Gabapentin,Osteoarthritis,mesh-ancestor
NCT03334903,Gabapentin,Arthritis,mesh-ancestor
NCT03334903,Gabapentin,Joint Diseases,mesh-ancestor
NCT03334903,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT03334903,Gabapentin,Rheumatic Diseases,mesh-ancestor
NCT03334903,Gabapentin,Narcotic-Related Disorders,mesh-ancestor
NCT03334903,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT03334903,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT03334903,Gabapentin,Mental Disorders,mesh-ancestor
NCT03334721,Gabapentin,Disease,mesh-list
NCT03334721,Gabapentin,Substance-Related Disorders,mesh-list
NCT03334721,Gabapentin,Marijuana Abuse,mesh-list
NCT03334721,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03334721,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT03334721,Gabapentin,Mental Disorders,mesh-ancestor
NCT03274167,Gabapentin,Alcoholism,mesh-list
NCT03274167,Gabapentin,Alcohol Drinking,mesh-list
NCT03274167,Gabapentin,Drinking Behavior,mesh-ancestor
NCT03274167,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT03274167,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT03274167,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT03274167,Gabapentin,Mental Disorders,mesh-ancestor
NCT03269344,Gabapentin,Oropharyngeal Neoplasms,mesh-list
NCT03269344,Gabapentin,Pharyngeal Neoplasms,mesh-ancestor
NCT03269344,Gabapentin,Otorhinolaryngologic Neoplasms,mesh-ancestor
NCT03269344,Gabapentin,Head and Neck Neoplasms,mesh-ancestor
NCT03269344,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT03269344,Gabapentin,Neoplasms,mesh-ancestor
NCT03269344,Gabapentin,Pharyngeal Diseases,mesh-ancestor
NCT03269344,Gabapentin,Stomatognathic Diseases,mesh-ancestor
NCT03269344,Gabapentin,Otorhinolaryngologic Diseases,mesh-ancestor
NCT03255330,Gabapentin,Spinal Cord Injuries,mesh-list
NCT03255330,Gabapentin,Neuralgia,mesh-list
NCT03255330,Gabapentin,Chronic Pain,mesh-list
NCT03255330,Gabapentin,Wounds and Injuries,mesh-list
NCT03255330,Gabapentin,Pain,mesh-ancestor
NCT03255330,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03255330,Gabapentin,Spinal Cord Diseases,mesh-ancestor
NCT03255330,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT03255330,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03255330,Gabapentin,"Trauma, Nervous System",mesh-ancestor
NCT03255330,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT03255330,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT03205423,Gabapentin,Disease,mesh-list
NCT03205423,Gabapentin,Alcoholism,mesh-list
NCT03205423,Gabapentin,Opioid-Related Disorders,mesh-list
NCT03205423,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03205423,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT03205423,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT03205423,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT03205423,Gabapentin,Mental Disorders,mesh-ancestor
NCT03205423,Gabapentin,Narcotic-Related Disorders,mesh-ancestor
NCT03151746,Gabapentin,Urethral Obstruction,mesh-list
NCT03151746,Gabapentin,"Pain, Postoperative",mesh-list
NCT03151746,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03151746,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03151746,Gabapentin,Pain,mesh-ancestor
NCT03151746,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03151746,Gabapentin,Urethral Diseases,mesh-ancestor
NCT03151746,Gabapentin,Urologic Diseases,mesh-ancestor
NCT03123861,Gabapentin,Prolapse,mesh-list
NCT03123861,Gabapentin,Pelvic Organ Prolapse,mesh-list
NCT03123861,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT03120962,Gabapentin,Herpes Zoster,mesh-list
NCT03120962,Gabapentin,Neuralgia,mesh-list
NCT03120962,Gabapentin,"Neuralgia, Postherpetic",mesh-list
NCT03120962,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT03120962,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT03120962,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03120962,Gabapentin,Pain,mesh-ancestor
NCT03120962,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03120962,Gabapentin,Varicella Zoster Virus Infection,mesh-ancestor
NCT03120962,Gabapentin,Herpesviridae Infections,mesh-ancestor
NCT03120962,Gabapentin,DNA Virus Infections,mesh-ancestor
NCT03120962,Gabapentin,Virus Diseases,mesh-ancestor
NCT03120962,Gabapentin,Infections,mesh-ancestor
NCT03088306,Gabapentin,Spinal Stenosis,mesh-list
NCT03088306,Gabapentin,Spinal Diseases,mesh-ancestor
NCT03088306,Gabapentin,Bone Diseases,mesh-ancestor
NCT03088306,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT03082755,Gabapentin,Alzheimer Disease,mesh-list
NCT03082755,Gabapentin,Restless Legs Syndrome,mesh-list
NCT03082755,Gabapentin,Dementia,mesh-ancestor
NCT03082755,Gabapentin,Brain Diseases,mesh-ancestor
NCT03082755,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT03082755,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03082755,Gabapentin,Tauopathies,mesh-ancestor
NCT03082755,Gabapentin,Neurodegenerative Diseases,mesh-ancestor
NCT03082755,Gabapentin,Neurocognitive Disorders,mesh-ancestor
NCT03082755,Gabapentin,Mental Disorders,mesh-ancestor
NCT03082755,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT03082755,Gabapentin,Dyssomnias,mesh-ancestor
NCT03082755,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT03082755,Gabapentin,Parasomnias,mesh-ancestor
NCT03053427,Gabapentin,Psychomotor Agitation,mesh-list
NCT03053427,Gabapentin,Restless Legs Syndrome,mesh-list
NCT03053427,Gabapentin,Syndrome,mesh-list
NCT03053427,Gabapentin,Disease,mesh-ancestor
NCT03053427,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03053427,Gabapentin,Dyskinesias,mesh-ancestor
NCT03053427,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03053427,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03053427,Gabapentin,Psychomotor Disorders,mesh-ancestor
NCT03053427,Gabapentin,Neurobehavioral Manifestations,mesh-ancestor
NCT03053427,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT03053427,Gabapentin,Dyssomnias,mesh-ancestor
NCT03053427,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT03053427,Gabapentin,Parasomnias,mesh-ancestor
NCT03053427,Gabapentin,Mental Disorders,mesh-ancestor
NCT03047278,Gabapentin,Neuralgia,mesh-list
NCT03047278,Gabapentin,Diabetic Neuropathies,mesh-list
NCT03047278,Gabapentin,"Diabetes Mellitus, Type 2",mesh-list
NCT03047278,Gabapentin,Diabetes Mellitus,mesh-ancestor
NCT03047278,Gabapentin,Glucose Metabolism Disorders,mesh-ancestor
NCT03047278,Gabapentin,Metabolic Diseases,mesh-ancestor
NCT03047278,Gabapentin,Endocrine System Diseases,mesh-ancestor
NCT03047278,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT03047278,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT03047278,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03047278,Gabapentin,Pain,mesh-ancestor
NCT03047278,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03047278,Gabapentin,Diabetes Complications,mesh-ancestor
NCT03012815,Gabapentin,Syndrome,mesh-list
NCT03012815,Gabapentin,Substance Withdrawal Syndrome,mesh-list
NCT03012815,Gabapentin,Disease,mesh-ancestor
NCT03012815,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03012815,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT03012815,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT03012815,Gabapentin,Mental Disorders,mesh-ancestor
NCT02987920,Gabapentin,"Pain, Postoperative",mesh-list
NCT02987920,Gabapentin,Postoperative Complications,mesh-ancestor
NCT02987920,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02987920,Gabapentin,Pain,mesh-ancestor
NCT02987920,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02977208,Gabapentin,Chronic Pain,mesh-list
NCT02977208,Gabapentin,Pain,mesh-ancestor
NCT02977208,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02944656,Gabapentin,,
NCT02927405,Gabapentin,"Pain, Postoperative",mesh-list
NCT02927405,Gabapentin,Postoperative Complications,mesh-ancestor
NCT02927405,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02927405,Gabapentin,Pain,mesh-ancestor
NCT02927405,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02918760,Gabapentin,Pelvic Pain,mesh-list
NCT02918760,Gabapentin,Pain,mesh-ancestor
NCT02918760,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02856750,Gabapentin,Acute Pain,mesh-list
NCT02856750,Gabapentin,Rib Fractures,mesh-list
NCT02856750,Gabapentin,Pain,mesh-ancestor
NCT02856750,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02856750,Gabapentin,"Fractures, Bone",mesh-ancestor
NCT02856750,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT02856750,Gabapentin,Thoracic Injuries,mesh-ancestor
NCT02737826,Gabapentin,Chronic Pain,mesh-list
NCT02737826,Gabapentin,Pain,mesh-ancestor
NCT02737826,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02693821,Gabapentin,"Pain, Postoperative",mesh-list
NCT02693821,Gabapentin,Postoperative Complications,mesh-ancestor
NCT02693821,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02693821,Gabapentin,Pain,mesh-ancestor
NCT02693821,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02685735,Gabapentin,,
NCT02642484,Gabapentin,Muscle Cramp,mesh-list
NCT02642484,Gabapentin,Liver Cirrhosis,mesh-list
NCT02642484,Gabapentin,Spasm,mesh-list
NCT02642484,Gabapentin,Fibrosis,mesh-list
NCT02642484,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02642484,Gabapentin,Liver Diseases,mesh-ancestor
NCT02642484,Gabapentin,Digestive System Diseases,mesh-ancestor
NCT02642484,Gabapentin,Muscular Diseases,mesh-ancestor
NCT02642484,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT02642484,Gabapentin,Neuromuscular Manifestations,mesh-ancestor
NCT02642484,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02642484,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02599701,Gabapentin,,
NCT02557945,Gabapentin,Psychotic Disorders,mesh-list
NCT02557945,Gabapentin,Mental Disorders,mesh-list
NCT02557945,Gabapentin,Schizophrenia Spectrum and Other Psychotic Disorders,mesh-ancestor
NCT02525848,Gabapentin,Nausea,mesh-list
NCT02525848,Gabapentin,Vomiting,mesh-list
NCT02525848,Gabapentin,Postoperative Nausea and Vomiting,mesh-list
NCT02525848,Gabapentin,"Signs and Symptoms, Digestive",mesh-ancestor
NCT02525848,Gabapentin,Postoperative Complications,mesh-ancestor
NCT02525848,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02490345,Gabapentin,"Pain, Postoperative",mesh-list
NCT02490345,Gabapentin,Postoperative Complications,mesh-ancestor
NCT02490345,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02490345,Gabapentin,Pain,mesh-ancestor
NCT02490345,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02466191,Gabapentin,Tremor,mesh-list
NCT02466191,Gabapentin,"Nystagmus, Pathologic",mesh-list
NCT02466191,Gabapentin,Dyskinesias,mesh-ancestor
NCT02466191,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02466191,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02466191,Gabapentin,Ocular Motility Disorders,mesh-ancestor
NCT02466191,Gabapentin,Cranial Nerve Diseases,mesh-ancestor
NCT02466191,Gabapentin,Eye Diseases,mesh-ancestor
NCT02419443,Gabapentin,Peripheral Nervous System Diseases,mesh-list
NCT02419443,Gabapentin,Hernia,mesh-list
NCT02419443,Gabapentin,"Hernia, Inguinal",mesh-list
NCT02419443,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT02419443,Gabapentin,"Hernia, Abdominal",mesh-ancestor
NCT02419443,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT02419443,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02403687,Gabapentin,Tendinopathy,mesh-list
NCT02403687,Gabapentin,Synovitis,mesh-list
NCT02403687,Gabapentin,Radiculopathy,mesh-list
NCT02403687,Gabapentin,Spasm,mesh-list
NCT02403687,Gabapentin,Headache,mesh-list
NCT02403687,Gabapentin,Joint Diseases,mesh-ancestor
NCT02403687,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT02403687,Gabapentin,Pain,mesh-ancestor
NCT02403687,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02403687,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT02403687,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT02403687,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02403687,Gabapentin,Muscular Diseases,mesh-ancestor
NCT02403687,Gabapentin,Tendon Injuries,mesh-ancestor
NCT02403687,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT02403687,Gabapentin,Neuromuscular Manifestations,mesh-ancestor
NCT02374567,Gabapentin,Disease,mesh-list
NCT02374567,Gabapentin,Psychophysiologic Disorders,mesh-list
NCT02374567,Gabapentin,Schizophrenia,mesh-list
NCT02374567,Gabapentin,Anxiety Disorders,mesh-list
NCT02374567,Gabapentin,Somatoform Disorders,mesh-list
NCT02374567,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02374567,Gabapentin,Schizophrenia Spectrum and Other Psychotic Disorders,mesh-ancestor
NCT02374567,Gabapentin,Mental Disorders,mesh-ancestor
NCT02374567,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02330094,Gabapentin,Subarachnoid Hemorrhage,mesh-list
NCT02330094,Gabapentin,Hemorrhage,mesh-list
NCT02330094,Gabapentin,Headache,mesh-list
NCT02330094,Gabapentin,Pathologic Processes,mesh-ancestor
NCT02330094,Gabapentin,Pain,mesh-ancestor
NCT02330094,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02330094,Gabapentin,Intracranial Hemorrhages,mesh-ancestor
NCT02330094,Gabapentin,Cerebrovascular Disorders,mesh-ancestor
NCT02330094,Gabapentin,Brain Diseases,mesh-ancestor
NCT02330094,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT02330094,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02330094,Gabapentin,Vascular Diseases,mesh-ancestor
NCT02330094,Gabapentin,Cardiovascular Diseases,mesh-ancestor
NCT02219373,Gabapentin,Neuralgia,mesh-list
NCT02219373,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT02219373,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT02219373,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT02219373,Gabapentin,Pain,mesh-ancestor
NCT02219373,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT02155257,Gabapentin,Osteoarthritis,mesh-list
NCT02155257,Gabapentin,Arthritis,mesh-ancestor
NCT02155257,Gabapentin,Joint Diseases,mesh-ancestor
NCT02155257,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT02155257,Gabapentin,Rheumatic Diseases,mesh-ancestor
NCT02120703,Gabapentin,Intervertebral Disc Displacement,mesh-list
NCT02120703,Gabapentin,Prolapse,mesh-list
NCT02120703,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT02120703,Gabapentin,Spinal Diseases,mesh-ancestor
NCT02120703,Gabapentin,Bone Diseases,mesh-ancestor
NCT02120703,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT02120703,Gabapentin,Hernia,mesh-ancestor
NCT02110719,Gabapentin,Nausea,mesh-list
NCT02110719,Gabapentin,Constipation,mesh-list
NCT02110719,Gabapentin,"Signs and Symptoms, Digestive",mesh-ancestor
NCT02052414,Gabapentin,Fibromyalgia,mesh-list
NCT02052414,Gabapentin,Myofascial Pain Syndromes,mesh-list
NCT02052414,Gabapentin,Muscular Diseases,mesh-ancestor
NCT02052414,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT02052414,Gabapentin,Rheumatic Diseases,mesh-ancestor
NCT02052414,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT02052414,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT01966172,Gabapentin,Agnosia,mesh-list
NCT01966172,Gabapentin,"Pain, Postoperative",mesh-list
NCT01966172,Gabapentin,Perceptual Disorders,mesh-ancestor
NCT01966172,Gabapentin,Neurobehavioral Manifestations,mesh-ancestor
NCT01966172,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT01966172,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT01966172,Gabapentin,Postoperative Complications,mesh-ancestor
NCT01966172,Gabapentin,Pathologic Processes,mesh-ancestor
NCT01966172,Gabapentin,Pain,mesh-ancestor
NCT01868425,Gabapentin,,
NCT01848119,Gabapentin,,
NCT01738893,Gabapentin,Epilepsy,mesh-list
NCT01738893,Gabapentin,Brain Diseases,mesh-ancestor
NCT01738893,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT01738893,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT01707420,Gabapentin,"Pain, Postoperative",mesh-list
NCT01707420,Gabapentin,Postoperative Complications,mesh-ancestor
NCT01707420,Gabapentin,Pathologic Processes,mesh-ancestor
NCT01707420,Gabapentin,Pain,mesh-ancestor
NCT01707420,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT01680549,Gabapentin,"Pain, Postoperative",mesh-list
NCT01680549,Gabapentin,Postoperative Complications,mesh-ancestor
NCT01680549,Gabapentin,Pathologic Processes,mesh-ancestor
NCT01680549,Gabapentin,Pain,mesh-ancestor
NCT01680549,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT01678586,Gabapentin,,
NCT01675960,Gabapentin,Sleep Initiation and Maintenance Disorders,mesh-list
NCT01675960,Gabapentin,Chronic Pain,mesh-list
NCT01675960,Gabapentin,"Signs and Symptoms, Digestive",mesh-list
NCT01675960,Gabapentin,Pain,mesh-ancestor
NCT01675960,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT01675960,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT01675960,Gabapentin,Dyssomnias,mesh-ancestor
NCT01675960,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT01675960,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT01675960,Gabapentin,Mental Disorders,mesh-ancestor
NCT01588314,Gabapentin,Neuralgia,mesh-list
NCT01588314,Gabapentin,Fabry Disease,mesh-list
NCT01588314,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT01588314,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT01588314,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT01588314,Gabapentin,Pain,mesh-ancestor
NCT01588314,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT01588314,Gabapentin,Sphingolipidoses,mesh-ancestor
NCT01588314,Gabapentin,"Lysosomal Storage Diseases, Nervous System",mesh-ancestor
NCT01588314,Gabapentin,"Brain Diseases, Metabolic, Inborn",mesh-ancestor
NCT01588314,Gabapentin,"Brain Diseases, Metabolic",mesh-ancestor
NCT01588314,Gabapentin,Brain Diseases,mesh-ancestor
NCT01588314,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT01588314,Gabapentin,Cerebral Small Vessel Diseases,mesh-ancestor
NCT01588314,Gabapentin,Cerebrovascular Disorders,mesh-ancestor
NCT01588314,Gabapentin,Vascular Diseases,mesh-ancestor
NCT01588314,Gabapentin,Cardiovascular Diseases,mesh-ancestor
NCT01588314,Gabapentin,"Genetic Diseases, X-Linked",mesh-ancestor
NCT01588314,Gabapentin,"Genetic Diseases, Inborn",mesh-ancestor
NCT01588314,Gabapentin,"Metabolism, Inborn Errors",mesh-ancestor
NCT01588314,Gabapentin,Lipidoses,mesh-ancestor
NCT01588314,Gabapentin,"Lipid Metabolism, Inborn Errors",mesh-ancestor
NCT01588314,Gabapentin,Lysosomal Storage Diseases,mesh-ancestor
NCT01588314,Gabapentin,Metabolic Diseases,mesh-ancestor
NCT01588314,Gabapentin,Lipid Metabolism Disorders,mesh-ancestor
NCT01485185,Gabapentin,Neuralgia,mesh-list
